NVCS_CLASS,NVCS_SUBCLASS,NVCS_FORMATION,NVCS_DIVISION
C02,S18,F012,D022
C02,S44,F013,D031
C02,S18,F038,D327
C02,S18,F005,D027
C01,S15,F008,D192
C01,S15,F018,D007
C01,S15,F026,D013
C01,S15,F026,D193
C03,S11,F033,D040
C02,S44,F035,D035
C02,S44,F013,D032
C03,S06,F015,D039
C01,S15,F008,D010
C02,S18,F012,D061
C02,S44,F035,D036
C01,S15,F008,D194
C04,S12,F037,D043
